image,label
D:/Study/code/archive/CamVid/train/0016E5_04860.png,D:/Study/code/archive/CamVid/train_labels/0016E5_04860_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f01350.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f01350_L.png
D:/Study/code/archive/CamVid/train/0001TP_009450.png,D:/Study/code/archive/CamVid/train_labels/0001TP_009450_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f00660.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f00660_L.png
D:/Study/code/archive/CamVid/train/0016E5_02040.png,D:/Study/code/archive/CamVid/train_labels/0016E5_02040_L.png
D:/Study/code/archive/CamVid/train/0006R0_f02730.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f02730_L.png
D:/Study/code/archive/CamVid/train/0006R0_f03360.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f03360_L.png
D:/Study/code/archive/CamVid/train/0016E5_07979.png,D:/Study/code/archive/CamVid/train_labels/0016E5_07979_L.png
D:/Study/code/archive/CamVid/train/0006R0_f03300.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f03300_L.png
D:/Study/code/archive/CamVid/train/0016E5_06660.png,D:/Study/code/archive/CamVid/train_labels/0016E5_06660_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f00690.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f00690_L.png
D:/Study/code/archive/CamVid/train/0016E5_04620.png,D:/Study/code/archive/CamVid/train_labels/0016E5_04620_L.png
D:/Study/code/archive/CamVid/train/0016E5_08190.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08190_L.png
D:/Study/code/archive/CamVid/train/0006R0_f03000.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f03000_L.png
D:/Study/code/archive/CamVid/train/0006R0_f02040.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f02040_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f03150.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f03150_L.png
D:/Study/code/archive/CamVid/train/0001TP_010050.png,D:/Study/code/archive/CamVid/train_labels/0001TP_010050_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f03000.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f03000_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f03900.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f03900_L.png
D:/Study/code/archive/CamVid/train/0016E5_06390.png,D:/Study/code/archive/CamVid/train_labels/0016E5_06390_L.png
D:/Study/code/archive/CamVid/train/0001TP_009480.png,D:/Study/code/archive/CamVid/train_labels/0001TP_009480_L.png
D:/Study/code/archive/CamVid/train/Seq05VD_f00390.png,D:/Study/code/archive/CamVid/train_labels/Seq05VD_f00390_L.png
D:/Study/code/archive/CamVid/train/0016E5_08137.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08137_L.png
D:/Study/code/archive/CamVid/train/0016E5_01140.png,D:/Study/code/archive/CamVid/train_labels/0016E5_01140_L.png
D:/Study/code/archive/CamVid/train/0006R0_f03060.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f03060_L.png
D:/Study/code/archive/CamVid/train/0016E5_08133.png,D:/Study/code/archive/CamVid/train_labels/0016E5_08133_L.png
D:/Study/code/archive/CamVid/train/0016E5_06180.png,D:/Study/code/archive/CamVid/train_labels/0016E5_06180_L.png
D:/Study/code/archive/CamVid/train/0006R0_f03240.png,D:/Study/code/archive/CamVid/train_labels/0006R0_f03240_L.png
